Puzzle,Solution,Time (milliseconds),
.59.8.26..............57......7.....7.5.2...868..3.7...9......5..2...6833..21....,159384267873692541246157839921748356735926418684531792497863125512479683368215974,92,
..34...2.5...924...6.78..........24....3.4....2..7..5..35...9..67.......9.....378,793415826518692437264783195387569241156324789429871653835147962672938514941256378,110,
...4...2.5...2.81...67.....7....3..1.4..5.3..8.2.1.6.....6......75...........8.4.,387491526594326817126785934759263481641857392832914675918642753475139268263578149,120,
..17.8..4.4.2...9.89....62.18..6.9.....4.........8...1....1..56.2..5......8...4..,261798534745236198893145627187362945956471382432589761379814256624957813518623479,27,
....56.31......62.32...8.....5.....2.68.4........8..5.......7...51..346.73.......,487256931519374628326198574975631842168542397243987156692415783851723469734869215,58,
1.......9..7....5.93651...461.....9...2........4.9.637......9...6......34.5....62,158674329247983156936512784613457298792368541584291637321846975869725413475139862,26,
1.3......7968...........6..6..3.......7..9..1....8.9.2.....238...16....558..9....,143276859796854123258931674619325748827469531435187962964512387371648295582793416,31,
.3.....8....7.......9.48.5...2.......8645......5.92...6.....9...9...78.42...36..7,534219786821765439769348251412873695986451372375692148657184923193527864248936517,126,
5.3....7............6219.....7......45....7..1..59..63.3.9.624.9.27...5..4.......,593468172214375689876219534367124895459683721128597463731956248982741356645832917,101,
.1....7.47.4.3..8.....9....1...4..9..2..8...1......2......24.5.4....3.7..715..8.2,913658724764132985285497316138246597627985431549371268896724153452813679371569842,20,
4..139....9.2.....7..5......23....5..6...7......34.........31.63.56.14.961.......,456139278891274365732568941923816754564927813187345692249753186375681429618492537,90,
4..38..2..87..2...1.6...8..7.......3......1..6.5..........5...1....2.3.62786.....,459381627387462915126795834792148563834576192615239748963854271541927386278613459,29,
3....1..5..8..79.............7......96.4....8...1....361.94..3...9....5.74..3...6,396821745428357961571694382187563429963472518254189673612945837839716254745238196,114,
...39.415..9.....26...4..3.....1....1.49....885.....2..9..5.6..5.8.....4.......9.,782396415349571862615248937923815746164927358857634129491752683538169274276483591,40,
3..8..62...2...4.764.7...89..93..........62....5..7....5........73..2.9.9...6...4,397814625582639417641725389269358741734196258815247963456971832173482596928563174,34,
..472...159.1....3..23....49.......2.2..1...5....8.37.....7.1.8.........7..9..4..,834725961596148723172396584948537612327619845615284379269473158453861297781952436,89,
..5.6.....2..8.1...6.3.58.....7.1.6...4......3.762...87.1.........8......5..13...,875162934423987156169345872582791463694538721317624598731456289246879315958213647,27,
8...2...9..4.....63....4.......7.92.4.....3..6934..8....8......9..58.4.....9..7.5,867325149514798236329164578185673924472859361693412857758241693936587412241936785,74,
..16......53.7824.64......5..2.6.13............6.....7.38....2..7.2.34........5..,821645379953178246647932815782569134495317682316824957538496721179253468264781593,29,
....6......3........4..2156.47...........3....384.1.2...158......52..38..7..364..,159768243623145978784392156547629831216873594938451627391584762465217389872936415,66,
.....4....28...1....1..8792..7.2..4....3.7..93...492.661.................49.....3,976214835528973164431568792197625348264387519385149276613892457752436981849751623,79,
647......23..487..9....2......1.......6..4......2.98...29..3.7...3..19.44...7..8.,647395128231648795958712463382167549196584237574239816829453671763821954415976382,57,
36.....7.7...134.6.......2.45.8.......1.25.3.....31.......4....2.....6....5.871..,364298571728513496519764328453876219671925834892431765186342957247159683935687142,36,
......6......9...2...762..3..79...1....5.......32..9862.9..1.75.35........8....31,372145698651893742984762153827936514496518327513274986269381475135427869748659231,36,
..24...53...8....2..7.3.8........4.......4561.......2.71...2....26385.1.34...6.8.,892467153634851972157239846571623498283794561469518327718942635926385714345176289,81,
7..8....1..3..9..8.1.3.627......38....46......2.7.89.....9...3..4.......16.......,796824351253179468418356279971543826834692517625718943582967134347281695169435782,31,
2.....1...8.7.25.6.7.64...3...47.......32........56....41...2...6..3.4.5...8...3.,256983147483712596179645823835479612614328759792156384341597268968231475527864931,101,
5.......17..2.3.6.1.....7.....7.....2..6....5....8..9...1.....865..3..27..8..2.5.,536974281789213564142856739865729413293641875417385692921567348654138927378492156,30,
7....6..1.21.9...4..628.97....9..7...6.42.....1..372......6.8............4......6,798546321521793684436281975284915763367428159915637248152364897673859412849172536,73,
..2..1698.1.......6...25.....1...5..2..5...84.8....2..14...63....3...4.......9.5.,532741698914368725678925143491287536267513984385694217149856372853172469726439851,41,
...8..79.....59.62..73.1....236..8........12......5..71...86.........68.......9.5,536842791814759362297361548423617859975438126681925437149586273752193684368274915,33,
1.........526........314.5.5.12.....4.71.6....6.........3...1...75.8.3.28.....47.,194825763352679814786314259531298647427156938968743521243967185675481392819532476,145,
8...6.9....2.......9......7..7....2.923....4.6....38..5.8.32.........43.2..4.7.9.,871264953362795184495381267187649325923578641654123879548932716719856432236417598,34,
.364.....1.........42.....36..2.7.4.....368.98..1.43....1.....237.....84........6,536419278187362495942758613693287541714536829825194367461873952379625184258941736,378,
.........65.3.....9....4..7.71....9.2.9....4..4...7.3......64.3..6.9..157.5.3..2.,814275369657319284923864157371648592269153748548927631192586473436792815785431926,211,
......5....2....41..5.....6.287.4.15.7..31.6.6....54......1...8......37....28...4,746192583892653741135478296328764915574931862619825437457319628281546379963287154,94,
2..3.....6...4523.9.5.7.4.......4...85............7...598..3.6.3...2.5.4..4.8.3..,241398675687145239935672418172934856853261947469857123598413762316729584724586391,224,
..63..4....4...9.7.9.18.5.683...6..5.578.....4..7.9....1..4.......9.........6.3..,526397418184625937793184526832416795957832164461759283615243879348971652279568341,33,
..5..8.629...4.85.18.....7....7...1...2.8...9..9......6...1.5..547...6.....6...4.,475398162926147853183256974854739216762581439319462785638914527547823691291675348,48,
