Puzzle,Solution,Time (milliseconds),
.8....3.97.......6...........68.2.7..3....5.8....4.6....937.8.5..2.69.......2...7,684217359791435286325986714946852173237691548518743692169374825872569431453128967,230,
......2........51.82..4...65.......82..53...9.....64.36..41..3591.........4.62...,137695284496283517825741396563974128241538769789126453672419835918357642354862971,106,
.1......8.24...7........62...5.67..2....19.7.18.2.....5.2..1.9.9.1..82.7....4....,619725348324186759758493621495367182263819475187254936532671894941538267876942513,69,
9......1..7..14..9..68....57.8.....1..9....2......5.6........94....67..8.4.5.27..,984756312375214689126839475758623941639148527412975863567381294293467158841592736,38,
967.....4..5......13....6...2...4..6.79..........13.2.4...5.2.77..6..4.3....9.1..,967285314845136972132749685521974836379862541684513729416358297798621453253497168,33,
..3.25.......3.17.69.7..2..9..6.7..3.3...4.1.2..39..6..7.....4.........9..2......,783125496425936178691748235914687523836254917257391864579813642168472359342569781,70,
...6.37...6..8...22....1..55.64.7.131.....86..3....5....1...3.....8.2..1.........,415623798367589142298741635586497213174235869932168574721954386643872951859316427,78,
.1.8..7...45....38..73..1.5....71.4.2..6...5.....5......6...3.......4....52....7.,613895724945712638827346195568271943274639851391458267486527319739164582152983476,67,
9..7.2.45..3....2.6..........24......6.5.8.7.5.8..943.2...........9.....4...2.95.,981732645743695128625184793192473586364518279578269431219357864857946312436821957,108,
.65...74...8......4......9.5.391..64....645....68...79.......5.17...53..........6,965128743318749625427536891583917264791264538246853179632481957174695382859372416,28,
..8...43659...2..86.3.8..59....2..........3....6..1.9..81.3.....5.....1.....49...,728915436594362178613784259975623841142897365836451792481536927359278614267149583,67,
5..7.32....8.5..4..3..8..5....2.....3........4.213.........9..1..5.4..9.2.9..57..,514763289628951347937482156856274913371596428492138675743829561165347892289615734,139,
.6......1...42.5..4....6872....12.57..2....6............3.4.....5...7...6.783...5,265978341781423596439156872896312457372584169514769283923645718158297634647831925,153,
.5.2....17...6.54...48..2....2..8...6..3.....4...7....5....28.3........7..35.6...,859247361721963548364815279912458736687321495435679182546792813298134657173586924,96,
..3...2.........6.48.6...75.........5683....7..4...952.7.8..4.......6...2...345.8,693587214157243869482619375921475683568392147734168952379851426845926731216734598,82,
...9....3..135.........162.7.3....81..6...3.9...2....72.5.......37..9...6..52.7..,572986413461352978398741625753694281126875349984213567245137896837469152619528734,38,
1...3..5........627...9..8....5..3....8...7.....8.3.1691...7...5...6...9.7.3.....,142638957839745162765192483621574398358916724497823516914287635583461279276359841,77,
.........8.4....5....39.....38..4....2...8.175....73.2............8...91.132..5..,356481729894672153172395846738124965629538417541967382285719634467853291913246578,30,
.4.2..15..5.8...4331..6....189.....4..............62.55.....6.1.6...4.29.........,948273156256819743317465892189527364625348917473196285534982671861734529792651438,112,
..65...129.2.6.8..85...2...........5..76....31..937.....315.9.....2.....5.9.7....,376598412912364857854712369638421795497685123125937684243156978781249536569873241,36,
5.4........3......9.....12...5.2.3........9.4..6.89.....8.53....1......5....98.3.,564812793123967458987534126895421367231675984746389512678153249319246875452798631,112,
.5....7........3.4..8..4.16.....714....8....52..5...6.....2.6.74.7.68.2..2......8,354216789162789354798354216583697142641832975279541863815423697437968521926175438,86,
7......982.8....4..4.1..2...3.......9..4.1.....7.3...5.1.....84...9...2.3...7....,761342598298657341543198276436785912952461837187239465619523784875914623324876159,179,
8.7...4......8.9.....1....69.3.....727...48..4.....32..3....7.8..6........486..9.,857926431641583972392147586913258647275634819468791325539412768186379254724865193,66,
1.4...2..8...523.4.23.4.9.6.....3...4.1.29...985.1......8...5.3..........92...8..,154396278869752314723841956276583491431629785985417632618974523547238169392165847,36,
.469..3....938...4.......281....6..39.72.....4..87.6.............36..89.......1..,846927351259381764371564928185496273967213485432875619728139546513642897694758132,53,
.14......2..39.4..98.6...2.82...3....9..54......18.......4....2...8.5..6......91.,614572839257398461983641527825963174791254683436187295368419752179825346542736918,40,
....7.....5...4..3.361..54..........1.....69.......271..264....6.3.19..559...7.2.,941573862258964713736182549469721358127358694385496271812645937673219485594837126,46,
..21..8...9.6.......65.31...........53.7.8.....93......51.....69.......8.7..1..2.,342197865195684732786523149817249653534768291269351487451832976923476518678915324,35,
4.17......37.....956..3..4.9.4.7.61......2.....3.165..1....4..7......2......634..,421789356837645129569231748954378612618452973273916584196524837345897261782163495,51,
..........8...6.5......29.6.61..48...4...9.2.83.1....5......38.........919.63..4.,679453218283916754514872936961524873745389621832167495456291387328745169197638542,123,
.67..5.2....2....1....6.35.2.....73.8..........67.84............8...65.7.5..3.2..,367145829495283671128967354219654738874392165536718492642571983983426517751839246,45,
..2..8...9.713...8...567.....1..9...7..2..1...9....6..2.....9...137.....8..3.1..7,632948715957132468148567329321679854786254193594813672275486931413795286869321547,120,
8....6..7.9.....4.4..2.75.8....4..5........8.71...5.......62....5..18..26..9.....,835496127297581346461237598328649751546173289719825634184362975953718462672954813,105,
...9.3........14865.....1.....2...91...6.8.426.............2...3.6.4.25..1..9...4,461983725923751486578426139785234691139678542642519873854362917396147258217895364,96,
2..7...3.....5...6.754.39....6.....495..8.....3....59.3..9.27..567...............,289716435413859276675423918726395184954281367831647592348962751567134829192578643,75,
..56....76...54.....3..72......2......4...3.12.91......7....1......6..4349...25..,825639417617254839943817265138726954764598321259143678376485192582961743491372586,55,
.......2.4.7......895...734...36...5...42.39.5......6.7342...8...9...2.6...8.....,361947528427583619895612734972368145618425397543179862734256981189734256256891473,75,
4.72...9....49.7...9.3....625.78......9..5...87....3......4.8...6..3...77..6.....,487256193632491785195378426251783649349165278876924351913547862564832917728619534,72,
..7.9....6..8.....8.4.617.......6953.....9.7...14.........5..69..........3....4.8,317592846659874231824361795248716953563289174791435682472158369186943527935627418,117,
....4....83..7945....5.2..77..3..6............8....74.5....327..7.9.6.3....2..9.6,657841329832679451194532867715394682423768195986125743569413278271986534348257916,39,
.....7.82.2.3..9.17.9.6..3.64.7.....1..........26..3..........8.7.412...3........,435197682826354971719268435643721859197835246582649317264573198978412563351986724,43,
......9.25..9.3......2.....2.......4..4..7....7.1..52..2.5...3..1.36...749......1,387456912562913478149278365231695784654827193978134526726541839815369247493782651,170,
3..75.....1.........7.36...9.6...8......4.5.9.48.7..1.5..4....3.9..8.......9.3...,369754182415892637827136495956321874731648529248579316582417963693285741174963258,29,
.....6...1...9547...7.4......9..15..4.5368..7.1....84....8.9.......7.3...9.6..1..,943786251168295473257143698879421536425368917316957842532819764681574329794632185,74,
5.........2.3..78.97.....3....71...6......2..13....5......91....8..3...7..1.2..53,513478692426359781978162435892715346765943218134286579357691824289534167641827953,123,
..4162.....874...1.........3...8..1......16...1.65..4........2.275......8.14...5.,734162589528749361169835274356284917482971635917653842643597128275318496891426753,107,
1.68..3...72.4...1.....96.....6...13.6..8.....3.47...8.49......3......49..81.....,196857324872346591453219687784625913261983475935471268649738152317562849528194736,62,
7....8.4.1..3...........5.3....6.3.5.3..71.........1968..1.36...9....8...1...4.5.,763518249125349768489726513941862375536971482278435196857193624694257831312684957,55,
..3.986....67.5.9.98...25.76.2...9.......7.6.7..62.8.38......3..3....2..1....9...,573498621246715398981362547612583974358947162794621853829154736435876219167239485,91,
.7.....85.....7...1482.....7...9..482..7.85..9........8...46729.6...9..4.......6.,672914385593687412148235976756193248234768591981452637815346729367829154429571863,50,
.487..5.3....3.4823....6..1.2...31..1..58.....6..7.......1..3...1...725......8...,948712563671935482352846791827693145193584627564271839286159374419367258735428916,115,
..3.8..4...417..5.1...6........5..1.5.7.......2.........17.....4..2..18.87...643.,763985241294173856185462793649857312517324968328691574931748625456239187872516439,88,
..2.8........45.7............3..9.2.4.5..27.8..687...5.37...642.8.7.....5.4.2....,742386519691245873358917264873459126415632798926871435137598642289764351564123987,98,
4.6....5...5.....3.1..9........4.3.985..7..6..9.....71.....9...3..4.......178.6..,436127958975864123218395746127546389853971264694238571782619435369452817541783692,386,
8.7.5.....9.......635.....9.8......5......7..956.3........15.94...9.436..4..83..1,817459623492361857635872149783246915124598736956137482368715294571924368249683571,36,
....7.......6.1...3.15.27.4.1...6...4.235.....73.....8..614..5.72..........8.....,295478316847631925361592784519786243482359167673214598936147852728965431154823679,210,
3..............387.15..7.4..4.6.3.2....18.4....1..2..526..1.......36.7..4........,372846591694251387815937246548673129926185473731492865267518934189364752453729618,115,
...7....8..........8.9..3718.2.5...7.3...718.....94.2.5.8......3..1...9.7...2.4..,493712658157683249286945371842351967935267184671894523568439712324176895719528436,96,
.8.24...61.....3..3......2..43.91..8.1..8....2.......4.6..1..........69.7.......3,987243156126958347354167829543791268619482735278536914865319472432875691791624583,50,
.4.58..3..3.6.7...8....31..5.9........7.....5....1.4...7.......3...7.8.....93471.,742581639931627548865493172529748361417369285683215497174856923396172854258934716,131,
.6.2....5..9576..44..1.98...2..8..4...1......65.9...1......4..6.......5....7.....,163248795289576134475139862327681549891453627654927318518394276746812953932765481,63,
5.8.7...9..32....5.6.......31..9.2.8.....2..7.9.8.35...5.........936......75..8..,528671439973284615164935782315796248846152397792843561651428973289367154437519826,97,
.......8.4.9.....6.7...5........6..32..59...75...7.2..75...4...64.2.73...38...4..,125369784489712536376845921897426153214593867563178249752934618641287395938651472,33,
.4...729.....4.7......5..1........238.7....5..15...4..73....9.8..148....5...79...,648137295153942786972856314469715823827394651315268479736521948291483567584679132,49,
..........1....5..4.5..18.9..7.9..2.5....27......4..3...95...8.34.12.........9..1,893754216712986543465231879687395124534612798921847635179563482346128957258479361,47,
..8........7...9..1..69....5...1.6.4...8..5...24.5...12.......68....279..6...91..,498731265637245918152698347583917624716824539924356871279183456841562793365479182,53,
...6.2.............568..4..5...7.....4...9.5.83..6..9....2....73.74..........52.8,473652189218947563956831472569178324741329856832564791185293647327486915694715238,82,
.5....6.984.6.1.52..17......824.......4.52...................9..75..8..4.6..7.2..,357284619849631752621795843182463975794852136536917428218346597975128364463579281,166,
...5..1......129.741.9..3.........7..2...6.....6..35.26...4..5.3.9........7....1.,792534168563812947418967325934125876825796431176483592681249753359671284247358619,278,
