Puzzle,Solution,Time (milliseconds),
....63.9.94.8...1.......5...3....4............751.9.6.7.1......8..7...5665.4.....,518263794942875613367914582139682475286547931475139268721356849894721356653498127,181,
....43....7...83..61...........1..2.89............986.2..........7.84..3.36.7..1.,528143679974268351613795482365817924892456137741329865289531746157684293436972518,59,
........8.1.583.6.4....2.9........19.2.4.5.....4..8.2.....2..41...1.6.8.........3,652941378719583264438762195586237419127495836394618527875329641943156782261874953,141,
...4..6..........8....9.215....4...9.5.8..1..9....1.87..5..6.9.7.1...5..6..1.8...,519482673326715948874693215168247359457839162932561487245376891781924536693158724,193,
...9..26.....841.5.......9..9.2.1..6...4.......1...4..4..1..5..1.65..8.978.......,347915268962784135518632794894271356273456981651893427429168573136527849785349612,273,
........5..19...4.5...........1...2..7.5.69.1.3.7.9....54....3.6...1.7..7.......2,396841275281975643547362819965184327472536981138729564854297136629413758713658492,230,
9.2.6.4..7.......5.46......5..3..7.9.6.4...8.....7.23....6..9.....94......8.2....,952863417783214695146759823524381769367492581819576234271635948635948172498127356,112,
..68...3..4.95......8...4..1.5.2...............3...5.9.5..3...1.6.4..8..4..19...3,516847932247953168938261457195326784874519326623784519759638241361472895482195673,259,
7...1......5367........4..8....28...4.7..1....3.4.....8.4.76.1....2...6...3...4..,746812593985367241312954678659728134427631985138495726894576312571243869263189457,328,
....51.....4.27...........4.3.57.....2..3.6..9.6...1.5..3.............27.57943..1,392451786584627913761398254138576492425139678976284135813762549649815327257943861,73,
9..2.16...8...........4.9....84..29.......4..43.6.21.7.79.....2....78....6.....41,954281673681739524327546918718453296296817435435692187179364852542178369863925741,55,
8.....912......46...2.....86..4...9....6......97..13...3.2..7...8.7.4...2.6.....9,865347912319852467742916538628473195153689274497521386934268751581794623276135849,37,
5..3...28.93....652................3....5.6.4.6....85..5.2.847...4.......897..5..,546379128193824765278165349415687293837952614962413857351298476724536981689741532,62,
.4..7.91.3...128..............13..4..8.7.9.3......875...9.8.3....12.34....2.9....,248376915365912874917854623796135248584729136123648759479581362851263497632497581,116,
1..7...6....4..7..6......1..4..6...2.....2..8..2...15975.....2....9......8.6..49.,138795264925416783674283915841569372597132648362874159759341826416928537283657491,83,
..184..7....2..1...4..3.....72...83......25..95.3...4.49.5..........4....8...7.2.,521846379369275184748931265172459836834762591956318742497523618213684957685197423,63,
......5494..7...........3.7..4..92...6.5.8...7....4...5.8.4.72...63.5..4...2..8.6,127863549493751682685492317834179265962538471751624938518946723276385194349217856,133,
....641.3.7...8..6...7.9.4.3.......1..4.1....26..8...41.6............28.7.2......,928564173475138926613729548397452861854316792261987354186275439539641287742893615,79,
...............385......794.7.1..953...........35.6.414..75..68..74......86.9..7.,395847216742619385861235794678124953154983627923576841439752168217468539586391472,166,
..56.34........531....7.....4..27..39...146..................2.3.6.....44..79..6.,195683472867249531234175896648927153923514687751368249519436728376852914482791365,148,
..69..28.4.............3.95.32....49.542.8..31...9..5....1.......3.6...1..9..5...,376951284495682317821743695732516849954278163168394752647129538583467921219835476,120,
..3.....514.823.......7.......34..2...1..9.....2..5.4.5.....9.1.8...7.......54...,763491285145823697928576413657348129431269758892715346574682931289137564316954872,295,
.....12....9...5..82.94.........2..3.5.4.........19..77.1.93...23.....74.85......,574681239619327548823945716498572163157436892362819457741293685236158974985764321,31,
.187......7...6.53......1.2....5.2.....391..5..56..98.....6.......1.97...6..3..29,518723496472916853936584172691458237827391645345672981789265314253149768164837529,131,
7.5.1.3..86.7..4...1....8..347........6......58..6.......8971..13...56.....6....4,795418362862753491413926875347589216926174538581362749654897123139245687278631954,245,
..2.9..6.5...4.8..48...2.15.5....1..89.........1.263.9............16..........5.4,132895467569741823487632915253987146896413752741526389924358671375164298618279534,30,
..2...16..742...9..3...............3..31...2684........8732.....6.79...23...4.8..,592873164174256398638419257219567483753184926846932715987325641461798532325641879,224,
.1.564.3..........4.71.3..6....9..51.65.3.927.....6..3..6..24.............97..1..,912564738653978214487123596234897651865431927791256843576312489128649375349785162,239,
.938...47....2.5..4.7....82.........3...97...8........6...4....742.3..9...82...56,293856147186724539457319682579182364364597218821463975615948723742635891938271456,152,
.34.16..91....8....7.9......1..6..98..8..476..9.........168.........2...32.....7.,534716289169428357872935614413267598258394761697851432741683925986572143325149876,85,
...........341..6.41...5..7...34..7.5..9.7..6.....69......3....1.7......9...2.54.,869273451753419268412865397691342875524987136378156924245638719137594682986721543,315,
..4......7293....66...5......6.937.2.1...4...3...7.4.....5.7...9.....1..4.26.....,154986273729341856683752914546193782217864395398275461831527649965438127472619538,2970,
..........6.2.9...29.........18.57.......1...479..2.....5.1.92......76.1...6..8.5,754136289168279453293584176321895764586741392479362518635418927842957631917623845,130,
6...97..5.5....7.......4..1.4..1.37..1.......3.7689.1.963.....71.5....834........,631897245254136798798524631846215379519743862327689514963458127175962483482371956,28,
.....7.6.......8...9.18......4......6..5..97.....6..21........524.....1...89.54..,852497163461253897397186542124379658683512974579864321936741285245638719718925436,27,
..563...4.8.241............9....8...5.492.....23.5.....4....631......85....3.9...,195637284387241596462895713916478325574923168823156947749582631231764859658319472,192,
.2...564.461.....2.7..2........1..63......8...........84...2...53..6.2....63.745.,328195647461873592975624381754218963193746825682539714847952136539461278216387459,199,
6.......58..1.2.7...........1.54.9........1.7.7.68......5...762.42.....9....5..1.,691738245854192673327465891213547986468923157579681324985314762142876539736259418,162,
1.3...8.7..6......9.........743...69...695............3.8..67...9.48...34.1..35..,143569827286731945957824136574318269832695471619247358328156794795482613461973582,59,
...4.3.896...9.1.78...7...3.2...9..1.1.8..3.4..63...2.3....1....9......2..2......,271453689634298157859176243723549861915862374486317925348721596197685432562934718,88,
....9..6...51.......9.65.72.....184..2.....977........5....891......6..868..1.72.,817392564265147389439865172956271843321584697748639251573428916192756438684913725,153,
78....54....49..7..9..8...68...6..9....7.3..14.....3.7.3.9......4.3.......6.5....,782631549365492178194587236873165492629743851451829367537918624248376915916254783,93,
........95192.6....2.........4....93....4.8..2.39.8..1..2...93.19....428.6......5,837514269519276384426839157684721593951643872273958641742185936195367428368492715,37,
.1..5..86.2.9....7..42..5..8.9...64........7.15...7........4..2.8..1........9.1..,917453286528961437364278519879325641246189375153647928691734852482516793735892164,47,
.4.53..17....8...5.3..7.8.4.8....5......4...3..53.1......2.9....72.1.3...14.....2,849536217721984635536172894183627549297845163465391728358269471972418356614753982,93,
..1..3.......7.1.879.........5....8.......6.3..9..67..8.31...6....6....9..78..2.5,281963574536472198794518326675341982128795643349286751853129467412657839967834215,69,
..2..5......8..2.4.6.....5.....58.31....3.5.26..9......4..16..9...28..6.......423,832745916591863274764192358927458631418637592653921847245316789379284165186579423,44,
6..4.........5.9..7..9...8.9.....8.64..782...........1.2....7....6124...8....9...,692438157318257964745916283957341826461782539283695471129863745576124398834579612,211,
..4.16......9..64...2....931....4.7....8..4......3....7..2..8....17.892.....63..7,594316782317982645862547193158624379923875461476139258745291836631758924289463517,35,
....49.5......6.21.17.2......1....3537...42..25.3...9..........6....2.74....9....,862149753543786921917523846491278635376954218258361497724635189639812574185497362,135,
....9..14..1...6...59...37..3....7.8.4.....5...8..51......548..36........8.7.6...,873692514421573689659148372235461798146987253798235146912354867367819425584726931,749,
.427..5..1...8..345..3....7.21....5...51..2.6.........2..6........8..6...7...3.82,342791568167285934589364127821476359795138246634952871258649713413827695976513482,202,
..6..9.2....7.439...1..54..9.5..7....4....9...2.....6..69......7.....5.15..4.....,476839125258714396391265478985647213643182957127593864869351742734926581512478639,40,
...9.8.5.....1.........4.3.2..........978.3...4...3.2.8..345..74.....1..7.5...2..,172938456384516972956274831237469518519782364648153729821345697493627185765891243,34,
..82....51...46......3.8.4.2.9.6.......5....4...1.4..9...9....19...25....56...9..,468219375135746892792358146249867513613592784587134269824973651971625438356481927,156,
17.........2.9.41....6..........4.9..37.62.....6......3.......24..8.9..6.194...3.,174258369652397418893641257281574693937162584546983721368715942425839176719426835,134,
........1.9.......47...5.9.736..89.....6..8....9.5..3.3........95...34....146....,623974581195386724478125693736248915512639847849751236364592178957813462281467359,34,
.........7.39..5..8625....7......9.23.679...8...2..4..4...7.2...9........8....7.4,549367821713982546862541397174853962326794158958216473431675289297438615685129734,79,
.5......4....3..9...3....1.1.......3.....92.....2.895..8.5..7....9..23.84........,958721634214836597673495812192657483845319276736248951381564729569172348427983165,103,
.........45.......921.3...........2.395......18.4...7.....2.38.74.1....9.3.7.81.5,863541792457289631921637854674315928395872416182496573516924387748153269239768145,282,
.....5..6.3.94.......2..91..9.............541..4..38..5.148..6.....2.1.9.8.....5.,829175436136948275457236918795814623368792541214653897571489362643527189982361754,387,
.....8...1...54.....2....3...65...........7.32..87.65.3.5.2..6.6....7.248...1....,967238415183754296452196837736541982518962743249873651375429168691387524824615379,735,
.........68..4....439.67......6.....8.69...353...85..4.....35........94..72.5....,725319468681542793439867152254631879816974235397285614148793526563128947972456381,79,
.7.18...5.....7..95.....1..6..351..8...9.8.........6..96.....878.5..3..4..3....6.,479186235136527849582439176697351428241968753358742691964215387825673914713894562,177,
........9.5..9...6..6...7..7.5.1............72....984..6...1...5..24..9..916.7..4,834576129157892436926134758745318962689425317213769845462981573578243691391657284,296,
5.3.4.9.1.4.......1.98..3..3.....75..957.1.237......8..........4.15.3...9.......8,583247961246139875179856342312498756895761423764325189638972514421583697957614238,96,
......8...38......1..7...23..4..7.9.69...3.....7.8.3..2...41..........69....6..12,962534871738216954145798623384627195691453287527189346256941738413872569879365412,101,
1......7..3..7148....9..2....7.......8....9...94.3..1.6.2.1...7.....83.......2.4.,125843679936271485748956231367189524581427963294635718652314897419768352873592146,39,
28..9.7.4...4.19.3..........5.1.94......4.2.....7.5..88..2....9.....7.....1....3.,283596714576481923419372586358129467697843251124765398865234179932617845741958632,62,
.2.34......9..2..5.3.57.8...5.1.........5..7.7......9.8.....1......2438.......2.7,527348916489612735631579842356197428298453671714286593872935164165724389943861257,151,
